pin,slack
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNI7L9D3[0]:Y3A,
uart_i/COREUART_C0_0/make_RX/samples[1]:ALn,
uart_i/COREUART_C0_0/make_RX/samples[1]:CLK,16629
uart_i/COREUART_C0_0/make_RX/samples[1]:D,19094
uart_i/COREUART_C0_0/make_RX/samples[1]:EN,18873
uart_i/COREUART_C0_0/make_RX/samples[1]:Q,16629
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_7:A,16174
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_7:B,16133
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_7:C,16088
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_7:D,15990
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_7:Y,15990
I_1/U0_RGB1:A,
I_1/U0_RGB1:Y,
uart_i/COREUART_C0_0/make_RX/parity_err_xhdl2:ALn,
uart_i/COREUART_C0_0/make_RX/parity_err_xhdl2:CLK,18370
uart_i/COREUART_C0_0/make_RX/parity_err_xhdl2:D,17492
uart_i/COREUART_C0_0/make_RX/parity_err_xhdl2:EN,16484
uart_i/COREUART_C0_0/make_RX/parity_err_xhdl2:Q,18370
uart_i/COREUART_C0_0/make_RX/rx_shift[5]:ALn,
uart_i/COREUART_C0_0/make_RX/rx_shift[5]:CLK,19105
uart_i/COREUART_C0_0/make_RX/rx_shift[5]:D,19105
uart_i/COREUART_C0_0/make_RX/rx_shift[5]:EN,17116
uart_i/COREUART_C0_0/make_RX/rx_shift[5]:Q,19105
uart_i/COREUART_C0_0/make_RX/rx_shift[5]:SLn,18180
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr[7]:ALn,
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr[7]:CLK,16044
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr[7]:D,15972
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr[7]:Q,16044
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr[8]:ALn,
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr[8]:CLK,16089
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr[8]:D,16029
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr[8]:Q,16089
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNISLQ45[3]:B,17846
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNISLQ45[3]:CC,16022
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNISLQ45[3]:P,17846
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNISLQ45[3]:S,16022
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNISLQ45[3]:Y3,
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNISLQ45[3]:Y3A,
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr[6]:ALn,
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr[6]:CLK,15946
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr[6]:D,16007
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr[6]:Q,15946
uart_i/COREUART_C0_0/rxrdy_xhdl4:ALn,
uart_i/COREUART_C0_0/rxrdy_xhdl4:CLK,19111
uart_i/COREUART_C0_0/rxrdy_xhdl4:D,19094
uart_i/COREUART_C0_0/rxrdy_xhdl4:EN,18205
uart_i/COREUART_C0_0/rxrdy_xhdl4:Q,19111
uart_i/COREUART_C0_0/make_RX/rx_state_s2_0_o2:A,17439
uart_i/COREUART_C0_0/make_RX/rx_state_s2_0_o2:B,17399
uart_i/COREUART_C0_0/make_RX/rx_state_s2_0_o2:Y,17399
uart_i/COREUART_C0_0/make_RX/rx_bit_cnt_RNI2O091[1]:A,16715
uart_i/COREUART_C0_0/make_RX/rx_bit_cnt_RNI2O091[1]:B,16672
uart_i/COREUART_C0_0/make_RX/rx_bit_cnt_RNI2O091[1]:C,16624
uart_i/COREUART_C0_0/make_RX/rx_bit_cnt_RNI2O091[1]:D,16556
uart_i/COREUART_C0_0/make_RX/rx_bit_cnt_RNI2O091[1]:Y,16556
uart_i/COREUART_C0_0/make_RX/rx_shift[8]:ALn,
uart_i/COREUART_C0_0/make_RX/rx_shift[8]:CLK,19111
uart_i/COREUART_C0_0/make_RX/rx_shift[8]:D,18233
uart_i/COREUART_C0_0/make_RX/rx_shift[8]:EN,17116
uart_i/COREUART_C0_0/make_RX/rx_shift[8]:Q,19111
uart_i/COREUART_C0_0/make_RX/rx_shift[8]:SLn,18180
uart_i/COREUART_C0_0/make_RX/receive_count_RNO[3]:A,16653
uart_i/COREUART_C0_0/make_RX/receive_count_RNO[3]:B,16564
uart_i/COREUART_C0_0/make_RX/receive_count_RNO[3]:C,17306
uart_i/COREUART_C0_0/make_RX/receive_count_RNO[3]:D,17213
uart_i/COREUART_C0_0/make_RX/receive_count_RNO[3]:Y,16564
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr[4]:ALn,
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr[4]:CLK,16133
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr[4]:D,15994
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr[4]:Q,16133
uart_i/COREUART_C0_0/make_RX/rx_state_ns_1_0_.m8:A,15971
uart_i/COREUART_C0_0/make_RX/rx_state_ns_1_0_.m8:B,15945
uart_i/COREUART_C0_0/make_RX/rx_state_ns_1_0_.m8:C,15862
uart_i/COREUART_C0_0/make_RX/rx_state_ns_1_0_.m8:D,15824
uart_i/COREUART_C0_0/make_RX/rx_state_ns_1_0_.m8:Y,15824
uart_i/COREUART_C0_0/make_RX/framing_error_i:ALn,
uart_i/COREUART_C0_0/make_RX/framing_error_i:CLK,18267
uart_i/COREUART_C0_0/make_RX/framing_error_i:EN,18132
uart_i/COREUART_C0_0/make_RX/framing_error_i:Q,18267
uart_i/COREUART_C0_0/make_RX/rx_state_ns_1_0_.m14:A,17609
uart_i/COREUART_C0_0/make_RX/rx_state_ns_1_0_.m14:B,17572
uart_i/COREUART_C0_0/make_RX/rx_state_ns_1_0_.m14:C,16559
uart_i/COREUART_C0_0/make_RX/rx_state_ns_1_0_.m14:D,17413
uart_i/COREUART_C0_0/make_RX/rx_state_ns_1_0_.m14:Y,16559
uart_reader_i/parity_err:A,18370
uart_reader_i/parity_err:B,18333
uart_reader_i/parity_err:C,18267
uart_reader_i/parity_err:Y,18267
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr[9]:ALn,
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr[9]:CLK,16130
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr[9]:D,15976
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr[9]:Q,16130
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr[2]:ALn,
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr[2]:CLK,15990
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr[2]:D,16073
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr[2]:Q,15990
uart_i/COREUART_C0_0/make_RX/rcv_sm.overflow_int_3:A,18353
uart_i/COREUART_C0_0/make_RX/rcv_sm.overflow_int_3:B,17509
uart_i/COREUART_C0_0/make_RX/rcv_sm.overflow_int_3:C,17333
uart_i/COREUART_C0_0/make_RX/rcv_sm.overflow_int_3:Y,17333
clk,
rstn,
button1,
LED1,
LED2,
LED3,
LED4,
rx,
tx,
